repository,risk_score,priority,stack,governance_gap_count,secret_files,unpinned_actions,unpinned_dependencies,missing_lockfiles,docker_root_risk,has_tests,recommended_actions
opencode,56,P0,"node+rust+container",2,0,47,0,20,6,true,"Pin GitHub Actions to immutable commit SHAs. | Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Set non-root USER in Dockerfiles. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
secrets-portal,52,P0,"node+jvm",2,1,10,0,2,0,false,"Remove committed secrets/key material and rotate credentials immediately. | Pin GitHub Actions to immutable commit SHAs. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
qodo-cover,50,P0,"node+python+go+jvm+ruby+container",4,0,28,4,2,12,true,"Pin GitHub Actions to immutable commit SHAs. | Replace wildcard/unpinned dependency specs with controlled version ranges or exact pins. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Set non-root USER in Dockerfiles. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
norman-ai,44,P1,"node",6,0,6,0,1,0,false,"Pin GitHub Actions to immutable commit SHAs. | Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
uv-docker-example,43,P1,"python+container",5,0,10,0,0,0,false,"Pin GitHub Actions to immutable commit SHAs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
qodo-ci-example,43,P1,"node+python+go+jvm+php+container",5,0,21,5,0,2,true,"Pin GitHub Actions to immutable commit SHAs. | Replace wildcard/unpinned dependency specs with controlled version ranges or exact pins. | Set non-root USER in Dockerfiles. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
dependabot-core,43,P1,"node+python+go+rust+jvm+ruby+php+container+terraform",1,0,1,2,12,2,true,"Pin GitHub Actions to immutable commit SHAs. | Replace wildcard/unpinned dependency specs with controlled version ranges or exact pins. | Replace workspace coupling with published internal package versions. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Set non-root USER in Dockerfiles. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
agent-starter-pack,42,P1,"node+python+go+jvm+container",4,0,12,0,0,6,true,"Pin GitHub Actions to immutable commit SHAs. | Set non-root USER in Dockerfiles. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
scale-institutional-knowledge-using-copilot-spaces,40,P1,"unknown",4,0,30,0,0,0,false,"Pin GitHub Actions to immutable commit SHAs. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows). | Add at least smoke/unit tests and enforce them in CI."
vertex-ai-creative-studio,39,P1,"node+python+go+container+terraform",3,0,4,25,4,4,true,"Pin GitHub Actions to immutable commit SHAs. | Replace wildcard/unpinned dependency specs with controlled version ranges or exact pins. | Commit lockfiles for all package manager roots and enforce frozen-lockfile installs. | Set non-root USER in Dockerfiles. | Apply baseline governance controls (SECURITY.md, Dependabot, CODEOWNERS, CI, security workflows)."
