repository,status,risk_score,default_branch,files_planned_count,files_planned,pr_url,reason
secrets-portal,dry_run,52,main,3,".github/CODEOWNERS | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
norman-ai,dry_run,44,main,2,".github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
the-treasury,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
the-sanctuary,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
the-observatory,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
the-nexus,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
the-lighthouse,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
the-library,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
the-ice-box,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
the-hive,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
the-foundation,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
the-forge,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
the-dr-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
the-cryptex,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
the-citadel,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
the-agora,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
solarscene-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
shared-core,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
serenity-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
sentinel-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
renik-ai,dry_run,32,main,5,"SECURITY.md | .github/CODEOWNERS | .github/dependabot.yml | .github/workflows/dependency-review.yml | .github/workflows/security-cve-scan.yml",,
